Year,Violent_sum,Property_sum,City
2018,229,2625,Burbank
2018,66,930,Claremont
2018,128,995,Commerce
2018,1174,2559,Compton
2018,188,1117,Covina
2018,90,187,Cudahy
2018,188,1756,Culver City
2018,162,1794,Cerritos
2018,27,274,Agoura Hills
2018,301,2100,West Hollywood
2018,292,2437,Santa Clarita
2018,58,936,Diamond Bar
2018,367,2615,Downey
2018,62,403,Duarte
2018,362,2242,El Monte
2018,62,714,El Segundo
2018,326,1306,Gardena
2018,202,3110,Glendale
2018,122,1523,Glendora
2018,81,250,Hawaiian Gardens
2018,617,1705,Hawthorne
2018,30,477,Hermosa Beach
2018,26,363,Calabasas
2018,37,380,Malibu
2018,0,15,Hidden Hills
2018,429,1800,Huntington Park
2018,87,979,Industry
2018,683,2744,Inglewood
2018,12,194,Irwindale
2018,270,1848,Lakewood
2018,89,829,La Mirada
2018,162,501,La Puente
2018,87,742,La Verne
2018,129,348,Lawndale
2018,66,312,Lomita
2018,3284,11922,Long Beach
2018,30126,101267,Los Angeles
2018,426,1438,Lynwood
2018,57,844,Manhattan Beach
2018,87,302,Maywood
2018,69,914,Monrovia
2018,218,1643,Montebello
2018,124,1589,Monterey Park
2018,449,1948,Norwalk
2018,591,2442,Palmdale
2018,6,104,Palos Verdes Estates
2018,329,1427,Paramount
2018,547,2928,Pasadena
2018,228,1159,Pico Rivera
2018,877,4697,Pomona
2018,171,1452,Redondo Beach
2018,0,5,Rolling Hills
2018,8,108,Rolling Hills Estates
2018,194,1274,Rosemead
2018,80,751,San Dimas
2018,102,312,San Fernando
2018,136,691,San Gabriel
2018,11,203,San Marino
2018,105,991,Santa Fe Springs
2018,797,4732,Santa Monica
2018,7,95,Sierra Madre
2018,86,690,Signal Hill
2018,126,621,South El Monte
2018,634,2364,South Gate
2018,32,522,South Pasadena
2018,64,472,Temple City
2018,267,2702,Torrance
2018,27,383,Vernon
2018,22,483,Walnut
2018,292,2513,West Covina
2018,233,2225,Whittier
2018,435,1971,Carson
2018,32,389,Rancho Palos Verdes
2018,13,330,La Canada-Flintridge
2018,1193,3805,Lancaster
2019,161,1749,Alhambra
2019,84,1348,Arcadia
2019,72,284,Artesia
2019,10,40,Avalon
2019,144,959,Azusa
2019,188,1110,Baldwin Park
2019,168,441,Bell
2019,327,1506,Bellflower
2019,147,630,Bell Gardens
2019,4,79,La Habra Heights
2019,13,189,Westlake Village
2019,103,1499,Beverly Hills
2019,1,10,Bradbury
2019,189,2617,Burbank
2019,51,774,Claremont
2019,138,1004,Commerce
2019,1104,2346,Compton
2019,171,1189,Covina
2019,89,214,Cudahy
2019,182,1647,Culver City
2019,127,1634,Cerritos
2019,21,306,Agoura Hills
2019,294,1898,West Hollywood
2019,277,2059,Santa Clarita
2019,72,908,Diamond Bar
2019,352,2473,Downey
2019,55,305,Duarte
2019,304,1787,El Monte
2019,82,625,El Segundo
2019,324,1202,Gardena
2019,231,3305,Glendale
2019,155,1501,Glendora
2019,76,225,Hawaiian Gardens
2019,636,1485,Hawthorne
2019,51,449,Hermosa Beach
2019,35,331,Calabasas
2019,44,416,Malibu
2019,1,18,Hidden Hills
2019,458,1595,Huntington Park
2019,72,1180,Industry
2019,671,2321,Inglewood
2019,26,240,Irwindale
2019,222,1846,Lakewood
2019,86,701,La Mirada
2019,151,449,La Puente
2019,51,627,La Verne
2019,125,411,Lawndale
2019,67,254,Lomita
2019,2369,11297,Long Beach
2019,29400,95704,Los Angeles
2019,454,1419,Lynwood
2019,55,851,Manhattan Beach
2019,90,296,Maywood
2019,43,845,Monrovia
2019,178,1448,Montebello
2019,126,1355,Monterey Park
2019,432,1571,Norwalk
2019,658,2230,Palmdale
2019,4,88,Palos Verdes Estates
2019,347,1246,Paramount
2019,613,2866,Pasadena
2019,234,1052,Pico Rivera
2019,940,4208,Pomona
2019,160,1370,Redondo Beach
2019,1,8,Rolling Hills
2019,10,126,Rolling Hills Estates
2019,175,942,Rosemead
2019,78,833,San Dimas
2019,80,243,San Fernando
2019,98,715,San Gabriel
2019,14,208,San Marino
2019,105,1035,Santa Fe Springs
2019,664,3964,Santa Monica
2019,15,79,Sierra Madre
2019,95,678,Signal Hill
2019,102,500,South El Monte
2019,622,2754,South Gate
2019,29,566,South Pasadena
2019,64,331,Temple City
2019,280,2853,Torrance
2019,27,485,Vernon
2019,38,386,Walnut
2019,260,2369,West Covina
2019,213,1901,Whittier
2019,444,2004,Carson
2019,29,313,Rancho Palos Verdes
2019,15,323,La Canada-Flintridge
2019,1359,3346,Lancaster
2020,175,1551,Alhambra
2020,87,1034,Arcadia
2020,50,306,Artesia
2020,7,52,Avalon
2020,155,975,Azusa
2020,161,862,Baldwin Park
2020,182,502,Bell
2020,348,1799,Bellflower
2020,150,618,Bell Gardens
2020,3,55,La Habra Heights
2020,9,129,Westlake Village
2020,111,1244,Beverly Hills
2020,0,7,Bradbury
2020,174,2474,Burbank
2020,51,696,Claremont
2020,136,1069,Commerce
2020,1125,2249,Compton
2020,152,1110,Covina
2020,91,292,Cudahy
2020,196,1600,Culver City
2020,100,1362,Cerritos
2020,23,243,Agoura Hills
2020,205,1205,West Hollywood
2020,291,2013,Santa Clarita
2020,62,793,Diamond Bar
2020,301,2153,Downey
2020,51,348,Duarte
2020,348,1775,El Monte
2020,114,775,El Segundo
2020,269,1324,Gardena
2020,206,3197,Glendale
2020,101,1200,Glendora
2020,52,197,Hawaiian Gardens
2020,675,1631,Hawthorne
2020,47,475,Hermosa Beach
2020,39,255,Calabasas
2020,40,355,Malibu
2020,1,13,Hidden Hills
2020,421,1720,Huntington Park
2020,58,794,Industry
2020,679,2495,Inglewood
2020,17,182,Irwindale
2020,236,1707,Lakewood
2020,92,698,La Mirada
2020,124,387,La Puente
2020,44,642,La Verne
2020,154,484,Lawndale
2020,78,319,Lomita
2020,2343,12707,Long Beach
2020,28882,85932,Los Angeles
2020,441,1511,Lynwood
2020,46,784,Manhattan Beach
2020,117,459,Maywood
2020,69,914,Monrovia
2020,178,1064,Montebello
2020,113,1230,Monterey Park
2020,437,1771,Norwalk
2020,744,2134,Palmdale
2020,4,86,Palos Verdes Estates
2020,263,1309,Paramount
2020,414,3021,Pasadena
2020,173,1166,Pico Rivera
2020,780,4759,Pomona
2020,167,1422,Redondo Beach
2020,0,6,Rolling Hills
2020,11,119,Rolling Hills Estates
2020,189,895,Rosemead
2020,83,761,San Dimas
2020,86,254,San Fernando
2020,75,525,San Gabriel
2020,12,238,San Marino
2020,92,1039,Santa Fe Springs
2020,541,3852,Santa Monica
2020,14,86,Sierra Madre
2020,94,738,Signal Hill
2020,118,567,South El Monte
2020,637,2946,South Gate
2020,26,631,South Pasadena
2020,49,322,Temple City
2020,274,2935,Torrance
2020,48,860,Vernon
2020,38,326,Walnut
2020,206,2212,West Covina
2020,237,1634,Whittier
2020,392,2044,Carson
2020,43,335,Rancho Palos Verdes
2020,14,262,La Canada-Flintridge
2020,1198,2690,Lancaster
